lcl|CP094940.1_prot_UOM46722.1_2	2.7.7.7
lcl|CP094940.1_prot_UOM46821.1_110	3.1.3.11
lcl|CP094940.1_prot_UOM46822.1_111	3.6.4.12
lcl|CP094940.1_prot_UOM46823.1_112	2.1.1.34
lcl|CP094940.1_prot_UOM46824.1_113	2.7.6.5
lcl|CP094940.1_prot_UOM46824.1_113	3.1.7.2
lcl|CP094940.1_prot_UOM46825.1_114	2.7.7.6
lcl|CP094940.1_prot_UOM46826.1_115	2.7.4.8
lcl|CP094940.1_prot_UOM46827.1_116	6.5.1.2
lcl|CP094940.1_prot_UOM46830.1_119	2.1.1.63
lcl|CP094940.1_prot_UOM46837.1_127	2.7.7.56
lcl|CP094940.1_prot_UOM46838.1_128	2.4.2.10
lcl|CP094940.1_prot_UOM46840.1_130	3.6.1.23
lcl|CP094940.1_prot_UOM49334.1_131	4.1.1.36
lcl|CP094940.1_prot_UOM49334.1_131	6.3.2.5
lcl|CP094940.1_prot_UOM46844.1_135	3.2.2.23
lcl|CP094940.1_prot_UOM46844.1_135	4.2.99.18
lcl|CP094940.1_prot_UOM46845.1_136	2.7.7.3
lcl|CP094940.1_prot_UOM46847.1_138	2.4.99.12
lcl|CP094940.1_prot_UOM46847.1_138	2.4.99.13
lcl|CP094940.1_prot_UOM46847.1_138	2.4.99.14
lcl|CP094940.1_prot_UOM46847.1_138	2.4.99.15
lcl|CP094940.1_prot_UOM46858.1_149	5.1.3.20
lcl|CP094940.1_prot_UOM46859.1_150	2.3.1.29
lcl|CP094940.1_prot_UOM46860.1_151	1.1.1.103
lcl|CP094940.1_prot_UOM46863.1_155	5.4.2.12
lcl|CP094940.1_prot_UOM46864.1_156	2.8.1.1
lcl|CP094940.1_prot_UOM46864.1_156	2.8.1.2
lcl|CP094940.1_prot_UOM46867.1_159	1.1.1.94
lcl|CP094940.1_prot_UOM46868.1_160	2.3.1.30
lcl|CP094940.1_prot_UOM46869.1_161	2.1.1.207
lcl|CP094940.1_prot_UOM49336.1_162	1.1.2.3
lcl|CP094940.1_prot_UOM46874.1_168	1.1.1.17
lcl|CP094940.1_prot_UOM46875.1_169	2.7.1.197
lcl|CP094940.1_prot_UOM46876.1_171	2.5.1.18
lcl|CP094940.1_prot_UOM46877.1_172	2.9.1.1
lcl|CP094940.1_prot_UOM46880.1_176	2.6.1.66
lcl|CP094940.1_prot_UOM46881.1_177	3.2.1.1
lcl|CP094940.1_prot_UOM46885.1_181	3.6.3.17
lcl|CP094940.1_prot_UOM46887.1_183	5.3.1.5
lcl|CP094940.1_prot_UOM46888.1_184	2.7.1.17
lcl|CP094940.1_prot_UOM46893.1_189	6.1.1.14
lcl|CP094940.1_prot_UOM46894.1_190	6.1.1.14
lcl|CP094940.1_prot_UOM46902.1_198	1.1.1.215
lcl|CP094940.1_prot_UOM46902.1_198	1.1.1.43
lcl|CP094940.1_prot_UOM46902.1_198	1.1.1.79
lcl|CP094940.1_prot_UOM46902.1_198	1.1.1.81
lcl|CP094940.1_prot_UOM46904.1_200	2.7.1.13
lcl|CP094940.1_prot_UOM46904.1_200	2.7.1.45
lcl|CP094940.1_prot_UOM46908.1_204	1.7.2.3
lcl|CP094940.1_prot_UOM46908.1_204	1.8.5.3
lcl|CP094940.1_prot_UOM46908.1_204	1.97.1.9
lcl|CP094940.1_prot_UOM46910.1_206	3.2.2.20
lcl|CP094940.1_prot_UOM46913.1_209	2.7.8.42
lcl|CP094940.1_prot_UOM46913.1_209	2.7.8.43
lcl|CP094940.1_prot_UOM46922.1_219	2.4.1.12
lcl|CP094940.1_prot_UOM46926.1_223	3.2.1.4
lcl|CP094940.1_prot_UOM49077.1_229	2.4.1.12
lcl|CP094940.1_prot_UOM46932.1_230	2.4.1.12
lcl|CP094940.1_prot_UOM46933.1_231	3.2.1.4
lcl|CP094940.1_prot_UOM46938.1_236	2.7.1.45
lcl|CP094940.1_prot_UOM46944.1_242	2.3.1.128
lcl|CP094940.1_prot_UOM46945.1_243	3.2.1.28
lcl|CP094940.1_prot_UOM46946.1_244	1.1.1.1
lcl|CP094940.1_prot_UOM46947.1_245	2.5.1.18
lcl|CP094940.1_prot_UOM46948.1_246	1.8.1.7
lcl|CP094940.1_prot_UOM46949.1_247	2.1.1.266
lcl|CP094940.1_prot_UOM46951.1_249	3.4.24.70
lcl|CP094940.1_prot_UOM46952.1_250	2.1.1.242
lcl|CP094940.1_prot_UOM46959.1_258	3.6.3.24
lcl|CP094940.1_prot_UOM46960.1_259	3.6.3.24
lcl|CP094940.1_prot_UOM46966.1_265	2.6.1.87
lcl|CP094940.1_prot_UOM46967.1_266	2.4.2.53
lcl|CP094940.1_prot_UOM46968.1_267	1.1.1.305
lcl|CP094940.1_prot_UOM46968.1_267	2.1.2.13
lcl|CP094940.1_prot_UOM46968.1_267	5.1.3.2
lcl|CP094940.1_prot_UOM46970.1_269	2.4.2.43
lcl|CP094940.1_prot_UOM46978.1_277	3.6.3.3
lcl|CP094940.1_prot_UOM46978.1_277	3.6.3.5
lcl|CP094940.1_prot_UOM46981.1_281	2.1.1.171
lcl|CP094940.1_prot_UOM46986.1_287	2.6.1.19
lcl|CP094940.1_prot_UOM46986.1_287	2.6.1.22
lcl|CP094940.1_prot_UOM47000.1_301	3.6.3.20
lcl|CP094940.1_prot_UOM47001.1_302	3.1.4.46
lcl|CP094940.1_prot_UOM47003.1_304	2.3.2.2
lcl|CP094940.1_prot_UOM47003.1_304	3.4.19.13
lcl|CP094940.1_prot_UOM47008.1_310	2.7.1.12
lcl|CP094940.1_prot_UOM47011.1_313	1.2.1.11
lcl|CP094940.1_prot_UOM47012.1_314	2.4.1.18
lcl|CP094940.1_prot_UOM47013.1_315	3.2.1.196
lcl|CP094940.1_prot_UOM47013.1_315	3.2.1.41
lcl|CP094940.1_prot_UOM47013.1_315	3.2.1.68
lcl|CP094940.1_prot_UOM47014.1_316	2.7.7.27
lcl|CP094940.1_prot_UOM47015.1_317	2.4.1.21
lcl|CP094940.1_prot_UOM47016.1_318	2.4.1.1
lcl|CP094940.1_prot_UOM47018.1_321	1.1.5.3
lcl|CP094940.1_prot_UOM47019.1_322	2.8.1.1
lcl|CP094940.1_prot_UOM47023.1_326	2.4.1.1
lcl|CP094940.1_prot_UOM47024.1_327	2.4.1.25
lcl|CP094940.1_prot_UOM47028.1_331	3.1.1.85
lcl|CP094940.1_prot_UOM47036.1_339	2.7.13.3
lcl|CP094940.1_prot_UOM47037.1_340	4.1.1.49
lcl|CP094940.1_prot_UOM47040.1_343	3.1.3.5
lcl|CP094940.1_prot_UOM47043.1_346	2.4.1.129
lcl|CP094940.1_prot_UOM47043.1_346	3.4.16.4
lcl|CP094940.1_prot_UOM47049.1_352	2.7.1.71
lcl|CP094940.1_prot_UOM47050.1_353	4.2.3.4
lcl|CP094940.1_prot_UOM47052.1_355	2.1.1.72
lcl|CP094940.1_prot_UOM47053.1_356	5.1.3.1
lcl|CP094940.1_prot_UOM47054.1_357	3.1.3.18
lcl|CP094940.1_prot_UOM47055.1_358	6.1.1.2
lcl|CP094940.1_prot_UOM47056.1_359	1.3.1.76
lcl|CP094940.1_prot_UOM47056.1_359	2.1.1.107
lcl|CP094940.1_prot_UOM47056.1_359	4.99.1.4
lcl|CP094940.1_prot_UOM47057.1_360	1.7.1.15
lcl|CP094940.1_prot_UOM47058.1_361	1.7.1.15
lcl|CP094940.1_prot_UOM47059.1_362	3.5.4.1
lcl|CP094940.1_prot_UOM47061.1_364	5.2.1.8
lcl|CP094940.1_prot_UOM47064.1_367	2.6.1.85
lcl|CP094940.1_prot_UOM47064.1_367	4.1.3.27
lcl|CP094940.1_prot_UOM47065.1_368	2.6.1.11
lcl|CP094940.1_prot_UOM47065.1_368	2.6.1.17
lcl|CP094940.1_prot_UOM47065.1_368	2.6.1.81
lcl|CP094940.1_prot_UOM47069.1_372	2.7.1.19
lcl|CP094940.1_prot_UOM47075.1_379	5.2.1.8
lcl|CP094940.1_prot_UOM47077.1_381	5.2.1.8
lcl|CP094940.1_prot_UOM47087.1_391	1.16.3.1
lcl|CP094940.1_prot_UOM47088.1_392	3.4.23.43
lcl|CP094940.1_prot_UOM47115.1_419	2.7.7.6
lcl|CP094940.1_prot_UOM47123.1_427	2.1.1.176
lcl|CP094940.1_prot_UOM47124.1_428	2.1.2.9
lcl|CP094940.1_prot_UOM47125.1_429	3.5.1.88
lcl|CP094940.1_prot_UOM47129.1_433	2.7.7.87
lcl|CP094940.1_prot_UOM47130.1_434	1.1.1.25
lcl|CP094940.1_prot_UOM47139.1_446	6.3.4.14
lcl|CP094940.1_prot_UOM47139.1_446	6.4.1.2
lcl|CP094940.1_prot_UOM47141.1_448	4.2.1.10
lcl|CP094940.1_prot_UOM47161.1_468	1.1.1.37
lcl|CP094940.1_prot_UOM47163.1_470	1.3.1.74
lcl|CP094940.1_prot_UOM47163.1_470	3.4.21.107
lcl|CP094940.1_prot_UOM47171.1_478	5.1.3.9
lcl|CP094940.1_prot_UOM47172.1_479	1.4.1.13
lcl|CP094940.1_prot_UOM47172.1_479	1.4.1.14
lcl|CP094940.1_prot_UOM47173.1_480	1.4.1.13
lcl|CP094940.1_prot_UOM47173.1_480	1.4.1.14
lcl|CP094940.1_prot_UOM47176.1_483	1.1.1.380
lcl|CP094940.1_prot_UOM47177.1_484	4.2.1.8
lcl|CP094940.1_prot_UOM47178.1_485	2.7.13.3
lcl|CP094940.1_prot_UOM47180.1_487	2.4.1.129
lcl|CP094940.1_prot_UOM47189.1_496	3.1.3.45
lcl|CP094940.1_prot_UOM47190.1_497	5.3.1.13
lcl|CP094940.1_prot_UOM47198.1_505	2.5.1.7
lcl|CP094940.1_prot_UOM47200.1_507	2.5.1.90
lcl|CP094940.1_prot_UOM47205.1_512	3.4.16.4
lcl|CP094940.1_prot_UOM47207.1_515	2.1.1.166
lcl|CP094940.1_prot_UOM47209.1_517	2.5.1.15
lcl|CP094940.1_prot_UOM47210.1_518	5.4.2.10
lcl|CP094940.1_prot_UOM47214.1_523	6.3.4.5
lcl|CP094940.1_prot_UOM47219.1_528	5.4.99.25
lcl|CP094940.1_prot_UOM47221.1_530	2.7.7.8
lcl|CP094940.1_prot_UOM47223.1_533	3.6.4.13
lcl|CP094940.1_prot_UOM47231.1_542	3.5.1.124
lcl|CP094940.1_prot_UOM47235.1_546	5.3.1.28
lcl|CP094940.1_prot_UOM47238.1_549	2.1.1.198
lcl|CP094940.1_prot_UOM47239.1_550	4.2.1.42
lcl|CP094940.1_prot_UOM47241.1_552	4.1.2.20
lcl|CP094940.1_prot_UOM47242.1_553	1.1.1.31
lcl|CP094940.1_prot_UOM47242.1_553	1.1.1.60
lcl|CP094940.1_prot_UOM47243.1_554	2.7.1.165
lcl|CP094940.1_prot_UOM47250.1_561	1.8.5.7
lcl|CP094940.1_prot_UOM47259.1_571	5.3.1.12
lcl|CP094940.1_prot_UOM47260.1_572	4.2.1.7
lcl|CP094940.1_prot_UOM47268.1_580	2.1.1.172
lcl|CP094940.1_prot_UOM47268.1_580	2.1.1.174
lcl|CP094940.1_prot_UOM47269.1_581	1.3.1.34
lcl|CP094940.1_prot_UOM47270.1_582	2.7.1.17
lcl|CP094940.1_prot_UOM47270.1_582	2.7.1.189
lcl|CP094940.1_prot_UOM47276.1_588	2.3.1.245
lcl|CP094940.1_prot_UOM47276.1_588	4.1.2.13
lcl|CP094940.1_prot_UOM47277.1_589	5.3.1.32
lcl|CP094940.1_prot_UOM47278.1_590	2.6.1.11
lcl|CP094940.1_prot_UOM47278.1_590	2.6.1.17
lcl|CP094940.1_prot_UOM47278.1_590	2.6.1.82
lcl|CP094940.1_prot_UOM47280.1_592	1.16.1.9
lcl|CP094940.1_prot_UOM47281.1_593	2.7.1.121
lcl|CP094940.1_prot_UOM47281.1_593	2.7.1.28
lcl|CP094940.1_prot_UOM47281.1_593	2.7.1.29
lcl|CP094940.1_prot_UOM47281.1_593	4.6.1.15
lcl|CP094940.1_prot_UOM47282.1_594	2.7.1.121
lcl|CP094940.1_prot_UOM47283.1_595	2.7.1.121
lcl|CP094940.1_prot_UOM47284.1_596	2.7.1.121
lcl|CP094940.1_prot_UOM47286.1_598	1.1.1.261
lcl|CP094940.1_prot_UOM47286.1_598	1.1.1.6
lcl|CP094940.1_prot_UOM47288.1_600	2.5.1.17
lcl|CP094940.1_prot_UOM47290.1_602	1.1.1.1
lcl|CP094940.1_prot_UOM47290.1_602	1.1.1.202
lcl|CP094940.1_prot_UOM47291.1_604	4.2.1.30
lcl|CP094940.1_prot_UOM47292.1_605	4.2.1.30
lcl|CP094940.1_prot_UOM47293.1_606	4.2.1.30
lcl|CP094940.1_prot_UOM47297.1_612	2.7.13.3
lcl|CP094940.1_prot_UOM47301.1_616	3.2.2.28
lcl|CP094940.1_prot_UOM47305.1_620	2.3.1.234
lcl|CP094940.1_prot_UOM47310.1_625	3.5.1.5
lcl|CP094940.1_prot_UOM47311.1_626	3.5.1.5
lcl|CP094940.1_prot_UOM47312.1_627	3.5.1.5
lcl|CP094940.1_prot_UOM47316.1_631	2.3.1.15
lcl|CP094940.1_prot_UOM47317.1_632	1.13.11.81
lcl|CP094940.1_prot_UOM47317.1_632	4.1.2.25
lcl|CP094940.1_prot_UOM47317.1_632	5.1.99.8
lcl|CP094940.1_prot_UOM47318.1_633	3.6.1.27
lcl|CP094940.1_prot_UOM47319.1_634	2.7.7.72
lcl|CP094940.1_prot_UOM47321.1_636	3.6.1.25
lcl|CP094940.1_prot_UOM47322.1_637	2.7.7.42
lcl|CP094940.1_prot_UOM47322.1_637	2.7.7.89
lcl|CP094940.1_prot_UOM47323.1_638	2.7.1.167
lcl|CP094940.1_prot_UOM47323.1_638	2.7.7.70
lcl|CP094940.1_prot_UOM47327.1_642	3.5.4.25
lcl|CP094940.1_prot_UOM47327.1_642	4.1.99.12
lcl|CP094940.1_prot_UOM47333.1_648	3.6.1.13
lcl|CP094940.1_prot_UOM47335.1_650	3.1.4.53
lcl|CP094940.1_prot_UOM47340.1_655	2.7.13.3
lcl|CP094940.1_prot_UOM47345.1_660	2.3.1.51
lcl|CP094940.1_prot_UOM47348.1_664	1.1.1.346
lcl|CP094940.1_prot_UOM47351.1_668	4.4.1.8
lcl|CP094940.1_prot_UOM47357.1_675	3.1.1.45
lcl|CP094940.1_prot_UOM47361.1_680	3.5.1.78
lcl|CP094940.1_prot_UOM47361.1_680	6.3.1.8
lcl|CP094940.1_prot_UOM47367.1_686	4.4.1.1
lcl|CP094940.1_prot_UOM47367.1_686	4.4.1.8
lcl|CP094940.1_prot_UOM47368.1_687	2.5.1.47
lcl|CP094940.1_prot_UOM47368.1_687	4.2.1.22
lcl|CP094940.1_prot_UOM47379.1_701	4.1.1.17
lcl|CP094940.1_prot_UOM47383.1_706	2.1.1.33
lcl|CP094940.1_prot_UOM47387.1_710	3.6.1.66
lcl|CP094940.1_prot_UOM47395.1_718	6.3.2.3
lcl|CP094940.1_prot_UOM47396.1_719	2.1.1.193
lcl|CP094940.1_prot_UOM47397.1_720	3.1.21.1
lcl|CP094940.1_prot_UOM47400.1_723	2.5.1.6
lcl|CP094940.1_prot_UOM47401.1_725	4.1.1.19
lcl|CP094940.1_prot_UOM47402.1_726	3.5.3.11
lcl|CP094940.1_prot_UOM47402.1_726	3.5.3.7
lcl|CP094940.1_prot_UOM47402.1_726	3.5.3.8
lcl|CP094940.1_prot_UOM47406.1_730	1.14.15.23
lcl|CP094940.1_prot_UOM47407.1_731	1.1.1.100
lcl|CP094940.1_prot_UOM47410.1_734	1.18.1.3
lcl|CP094940.1_prot_UOM49097.1_739	1.4.1.21
lcl|CP094940.1_prot_UOM47414.1_740	1.2.1.8
lcl|CP094940.1_prot_UOM47415.1_741	2.2.1.6
lcl|CP094940.1_prot_UOM47418.1_744	2.2.1.1
lcl|CP094940.1_prot_UOM47419.1_745	1.2.1.12
lcl|CP094940.1_prot_UOM47419.1_745	1.2.1.72
lcl|CP094940.1_prot_UOM47420.1_746	2.7.2.3
lcl|CP094940.1_prot_UOM47421.1_747	4.1.2.13
lcl|CP094940.1_prot_UOM47426.1_752	5.3.1.6
lcl|CP094940.1_prot_UOM47427.1_753	1.1.1.399
lcl|CP094940.1_prot_UOM47427.1_753	1.1.1.95
lcl|CP094940.1_prot_UOM47428.1_754	6.3.3.2
lcl|CP094940.1_prot_UOM47431.1_757	3.4.11.9
lcl|CP094940.1_prot_UOM47434.1_760	2.1.2.10
lcl|CP094940.1_prot_UOM47436.1_762	1.4.4.2
lcl|CP094940.1_prot_UOM47442.1_769	3.2.1.21
lcl|CP094940.1_prot_UOM47442.1_769	3.2.1.86
lcl|CP094940.1_prot_UOM47450.1_778	5.3.4.1
lcl|CP094940.1_prot_UOM47453.1_781	6.1.1.6
lcl|CP094940.1_prot_UOM47454.1_782	4.1.1.33
lcl|CP094940.1_prot_UOM47454.1_782	5.3.3.2
lcl|CP094940.1_prot_UOM47475.1_805	2.7.13.3
lcl|CP094940.1_prot_UOM47487.1_820	3.5.1.5
lcl|CP094940.1_prot_UOM47488.1_821	3.5.1.5
lcl|CP094940.1_prot_UOM47489.1_822	3.5.1.5
lcl|CP094940.1_prot_UOM47495.1_829	2.7.13.3
lcl|CP094940.1_prot_UOM47500.1_835	4.1.1.44
lcl|CP094940.1_prot_UOM47509.1_844	1.20.4.1
lcl|CP094940.1_prot_UOM47534.1_872	3.1.4.52
lcl|CP094940.1_prot_UOM47537.1_875	1.1.1.65
lcl|CP094940.1_prot_UOM47541.1_879	2.3.1.9
lcl|CP094940.1_prot_UOM47543.1_881	4.2.2.6
lcl|CP094940.1_prot_UOM47544.1_882	1.1.1.127
lcl|CP094940.1_prot_UOM49108.1_887	3.2.1.26
lcl|CP094940.1_prot_UOM47555.1_894	5.1.1.13
lcl|CP094940.1_prot_UOM47557.1_896	4.1.1.20
lcl|CP094940.1_prot_UOM47559.1_899	3.2.1.21
lcl|CP094940.1_prot_UOM47559.1_899	3.2.1.86
lcl|CP094940.1_prot_UOM47563.1_904	2.3.1.40
lcl|CP094940.1_prot_UOM47563.1_904	6.2.1.20
lcl|CP094940.1_prot_UOM47571.1_912	2.7.3.9
lcl|CP094940.1_prot_UOM47573.1_914	2.1.1.45
lcl|CP094940.1_prot_UOM47578.1_919	3.1.11.5
lcl|CP094940.1_prot_UOM47579.1_920	3.4.24.55
lcl|CP094940.1_prot_UOM47580.1_921	3.1.11.5
lcl|CP094940.1_prot_UOM47581.1_922	3.1.11.5
lcl|CP094940.1_prot_UOM47583.1_924	2.3.1.1
lcl|CP094940.1_prot_UOM47584.1_925	3.5.1.28
lcl|CP094940.1_prot_UOM47585.1_926	4.1.1.81
lcl|CP094940.1_prot_UOM47586.1_927	2.7.1.177
lcl|CP094940.1_prot_UOM47587.1_928	2.7.2.1
lcl|CP094940.1_prot_UOM47587.1_928	2.7.2.15
lcl|CP094940.1_prot_UOM47593.1_934	1.2.1.87
lcl|CP094940.1_prot_UOM47594.1_935	2.5.1.17
lcl|CP094940.1_prot_UOM47597.1_938	2.3.1.222
lcl|CP094940.1_prot_UOM47602.1_943	4.2.1.28
lcl|CP094940.1_prot_UOM47603.1_944	4.2.1.28
lcl|CP094940.1_prot_UOM47604.1_945	4.2.1.28
lcl|CP094940.1_prot_UOM47609.1_950	6.3.5.11
lcl|CP094940.1_prot_UOM47609.1_950	6.3.5.9
lcl|CP094940.1_prot_UOM47610.1_951	6.3.1.10
lcl|CP094940.1_prot_UOM47611.1_952	5.4.99.60
lcl|CP094940.1_prot_UOM47611.1_952	5.4.99.61
lcl|CP094940.1_prot_UOM47612.1_953	2.1.1.195
lcl|CP094940.1_prot_UOM47613.1_954	2.1.1.289
lcl|CP094940.1_prot_UOM47614.1_955	2.1.1.132
lcl|CP094940.1_prot_UOM47614.1_955	2.1.1.196
lcl|CP094940.1_prot_UOM47615.1_956	2.1.1.133
lcl|CP094940.1_prot_UOM47615.1_956	2.1.1.271
lcl|CP094940.1_prot_UOM47616.1_957	3.7.1.12
lcl|CP094940.1_prot_UOM47617.1_958	2.1.1.131
lcl|CP094940.1_prot_UOM47618.1_959	1.3.1.106
lcl|CP094940.1_prot_UOM47618.1_959	1.3.1.54
lcl|CP094940.1_prot_UOM47619.1_960	4.99.1.3
lcl|CP094940.1_prot_UOM47620.1_961	2.1.1.130
lcl|CP094940.1_prot_UOM47620.1_961	2.1.1.151
lcl|CP094940.1_prot_UOM47623.1_965	3.6.3.55
lcl|CP094940.1_prot_UOM47624.1_966	6.3.5.10
lcl|CP094940.1_prot_UOM47625.1_967	2.7.1.156
lcl|CP094940.1_prot_UOM47625.1_967	2.7.7.62
lcl|CP094940.1_prot_UOM47626.1_968	2.4.2.21
lcl|CP094940.1_prot_UOM47630.1_972	2.8.1.7
lcl|CP094940.1_prot_UOM47630.1_972	4.4.1.16
lcl|CP094940.1_prot_UOM47633.1_976	2.1.1.186
lcl|CP094940.1_prot_UOM47635.1_978	5.1.3.29
lcl|CP094940.1_prot_UOM47636.1_979	2.7.1.17
lcl|CP094940.1_prot_UOM47636.1_979	2.7.1.51
lcl|CP094940.1_prot_UOM47637.1_980	5.3.1.25
lcl|CP094940.1_prot_UOM47637.1_980	5.3.1.3
lcl|CP094940.1_prot_UOM47639.1_982	4.1.1.104
lcl|CP094940.1_prot_UOM47639.1_982	4.1.2.17
lcl|CP094940.1_prot_UOM47640.1_983	1.1.1.77
lcl|CP094940.1_prot_UOM47644.1_987	1.14.14.5
lcl|CP094940.1_prot_UOM47646.1_989	1.14.14.28
lcl|CP094940.1_prot_UOM47652.1_996	4.3.1.17
lcl|CP094940.1_prot_UOM47654.1_998	3.2.2.10
lcl|CP094940.1_prot_UOM47655.1_999	1.7.1.13
lcl|CP094940.1_prot_UOM47657.1_1001	5.1.3.13
lcl|CP094940.1_prot_UOM47658.1_1002	5.4.99.26
lcl|CP094940.1_prot_UOM47661.1_1005	4.2.1.40
lcl|CP094940.1_prot_UOM47662.1_1006	4.2.1.40
lcl|CP094940.1_prot_UOM47663.1_1007	2.7.1.165
lcl|CP094940.1_prot_UOM47664.1_1008	2.7.13.3
lcl|CP094940.1_prot_UOM47665.1_1009	2.1.1.190
lcl|CP094940.1_prot_UOM47666.1_1010	2.7.6.5
lcl|CP094940.1_prot_UOM47667.1_1011	3.6.1.9
lcl|CP094940.1_prot_UOM47668.1_1012	6.3.4.2
lcl|CP094940.1_prot_UOM47669.1_1013	4.2.1.11
lcl|CP094940.1_prot_UOM47671.1_1015	4.3.99.3
lcl|CP094940.1_prot_UOM47672.1_1016	4.1.2.50
lcl|CP094940.1_prot_UOM47672.1_1016	4.2.3.12
lcl|CP094940.1_prot_UOM47673.1_1017	1.8.1.2
lcl|CP094940.1_prot_UOM47674.1_1018	1.8.1.2
lcl|CP094940.1_prot_UOM47675.1_1019	1.8.4.10
lcl|CP094940.1_prot_UOM47675.1_1019	1.8.4.8
lcl|CP094940.1_prot_UOM49113.1_1021	1.3.1.76
lcl|CP094940.1_prot_UOM49113.1_1021	2.1.1.107
lcl|CP094940.1_prot_UOM49113.1_1021	4.99.1.4
lcl|CP094940.1_prot_UOM47677.1_1022	2.7.7.4
lcl|CP094940.1_prot_UOM47678.1_1023	2.7.7.4
lcl|CP094940.1_prot_UOM47679.1_1024	2.7.1.25
lcl|CP094940.1_prot_UOM47682.1_1027	2.7.7.60
lcl|CP094940.1_prot_UOM47683.1_1028	4.6.1.12
lcl|CP094940.1_prot_UOM47684.1_1029	5.4.99.27
lcl|CP094940.1_prot_UOM47685.1_1030	3.1.3.5
lcl|CP094940.1_prot_UOM47686.1_1031	2.1.1.77
lcl|CP094940.1_prot_UOM47693.1_1038	2.5.1.129
lcl|CP094940.1_prot_UOM47694.1_1039	4.1.1.61
lcl|CP094940.1_prot_UOM47695.1_1040	4.1.1.61
lcl|CP094940.1_prot_UOM47701.1_1046	3.6.3.34
lcl|CP094940.1_prot_UOM47707.1_1052	2.2.1.6
lcl|CP094940.1_prot_UOM47716.1_1061	2.7.1.2
lcl|CP094940.1_prot_UOM47716.1_1061	2.7.1.4
lcl|CP094940.1_prot_UOM47716.1_1061	2.7.1.85
lcl|CP094940.1_prot_UOM47717.1_1062	2.7.1.196
lcl|CP094940.1_prot_UOM47717.1_1062	2.7.1.205
lcl|CP094940.1_prot_UOM47719.1_1064	2.7.1.196
lcl|CP094940.1_prot_UOM47719.1_1064	2.7.1.205
lcl|CP094940.1_prot_UOM47723.1_1068	3.2.1.21
lcl|CP094940.1_prot_UOM47723.1_1068	3.2.1.86
lcl|CP094940.1_prot_UOM47738.1_1083	3.4.23.51
lcl|CP094940.1_prot_UOM47740.1_1085	3.2.1.21
lcl|CP094940.1_prot_UOM47740.1_1085	3.2.1.86
lcl|CP094940.1_prot_UOM47749.1_1094	5.3.1.13
lcl|CP094940.1_prot_UOM47752.1_1097	1.1.1.140
lcl|CP094940.1_prot_UOM47752.1_1097	1.1.1.304
lcl|CP094940.1_prot_UOM47752.1_1097	1.1.1.76
lcl|CP094940.1_prot_UOM47753.1_1098	2.7.1.198
lcl|CP094940.1_prot_UOM47754.1_1099	2.7.1.198
lcl|CP094940.1_prot_UOM47759.1_1105	3.5.1.42
lcl|CP094940.1_prot_UOM47762.1_1108	6.1.1.7
