lcl|CP094940.1_prot_UOM46721.1_1	K02313
lcl|CP094940.1_prot_UOM46761.1_46	K00839
lcl|CP094940.1_prot_UOM46761.1_46	K03430
lcl|CP094940.1_prot_UOM46762.1_47	K03710
lcl|CP094940.1_prot_UOM46763.1_48	K11081
lcl|CP094940.1_prot_UOM46764.1_49	K02052
lcl|CP094940.1_prot_UOM46764.1_49	K11084
lcl|CP094940.1_prot_UOM49329.1_50	K11083
lcl|CP094940.1_prot_UOM46765.1_51	K11082
lcl|CP094940.1_prot_UOM46766.1_52	K02024
lcl|CP094940.1_prot_UOM46767.1_53	K02759
lcl|CP094940.1_prot_UOM46768.1_54	K02761
lcl|CP094940.1_prot_UOM46769.1_55	K02760
lcl|CP094940.1_prot_UOM46770.1_57	K08195
lcl|CP094940.1_prot_UOM46771.1_58	K04099
lcl|CP094940.1_prot_UOM46771.1_58	K04101
lcl|CP094940.1_prot_UOM46772.1_59	K16516
lcl|CP094940.1_prot_UOM46773.1_60	K16515
lcl|CP094940.1_prot_UOM46774.1_61	K10218
lcl|CP094940.1_prot_UOM46775.1_62	K16514
lcl|CP094940.1_prot_UOM46777.1_66	K11191
lcl|CP094940.1_prot_UOM46777.1_66	K11192
lcl|CP094940.1_prot_UOM46778.1_67	K07106
lcl|CP094940.1_prot_UOM46779.1_68	K07552
lcl|CP094940.1_prot_UOM46780.1_69	K18139
lcl|CP094940.1_prot_UOM46780.1_69	K18147
lcl|CP094940.1_prot_UOM46781.1_70	K18138
lcl|CP094940.1_prot_UOM46782.1_71	K03585
lcl|CP094940.1_prot_UOM46782.1_71	K18141
lcl|CP094940.1_prot_UOM46782.1_71	K18321
lcl|CP094940.1_prot_UOM46789.1_78	K07006
lcl|CP094940.1_prot_UOM46790.1_79	K09958
lcl|CP094940.1_prot_UOM46792.1_81	K18991
lcl|CP094940.1_prot_UOM46792.1_81	K21746
lcl|CP094940.1_prot_UOM46793.1_82	K02073
lcl|CP094940.1_prot_UOM46795.1_84	K01515
lcl|CP094940.1_prot_UOM46798.1_87	K13979
lcl|CP094940.1_prot_UOM46803.1_92	K03292
lcl|CP094940.1_prot_UOM46803.1_92	K11104
lcl|CP094940.1_prot_UOM46804.1_93	K01811
lcl|CP094940.1_prot_UOM46806.1_95	K01222
lcl|CP094940.1_prot_UOM46807.1_96	K02749
lcl|CP094940.1_prot_UOM46807.1_96	K02750
lcl|CP094940.1_prot_UOM46807.1_96	K02790
lcl|CP094940.1_prot_UOM46807.1_96	K02791
lcl|CP094940.1_prot_UOM46809.1_98	K03458
lcl|CP094940.1_prot_UOM46809.1_98	K16345
lcl|CP094940.1_prot_UOM46810.1_99	K03312
lcl|CP094940.1_prot_UOM46811.1_100	K00864
lcl|CP094940.1_prot_UOM46812.1_101	K02440
lcl|CP094940.1_prot_UOM46813.1_102	K09892
lcl|CP094940.1_prot_UOM46814.1_103	K02048
lcl|CP094940.1_prot_UOM46815.1_104	K01521
lcl|CP094940.1_prot_UOM46817.1_106	K01803
lcl|CP094940.1_prot_UOM46820.1_109	K00528
lcl|CP094940.1_prot_UOM46821.1_110	K02446
lcl|CP094940.1_prot_UOM46822.1_111	K03655
lcl|CP094940.1_prot_UOM46823.1_112	K00556
lcl|CP094940.1_prot_UOM46824.1_113	K00951
lcl|CP094940.1_prot_UOM46824.1_113	K01139
lcl|CP094940.1_prot_UOM46825.1_114	K03060
lcl|CP094940.1_prot_UOM46826.1_115	K00942
lcl|CP094940.1_prot_UOM46827.1_116	K01972
lcl|CP094940.1_prot_UOM46830.1_119	K00567
lcl|CP094940.1_prot_UOM46830.1_119	K10778
lcl|CP094940.1_prot_UOM46835.1_124	K01993
lcl|CP094940.1_prot_UOM46836.1_125	K01990
lcl|CP094940.1_prot_UOM49333.1_126	K01992
lcl|CP094940.1_prot_UOM46837.1_127	K00989
lcl|CP094940.1_prot_UOM46838.1_128	K00762
lcl|CP094940.1_prot_UOM46839.1_129	K05501
lcl|CP094940.1_prot_UOM46840.1_130	K01520
lcl|CP094940.1_prot_UOM49334.1_131	K13038
lcl|CP094940.1_prot_UOM46841.1_132	K03630
lcl|CP094940.1_prot_UOM46842.1_133	K02902
lcl|CP094940.1_prot_UOM46843.1_134	K02913
lcl|CP094940.1_prot_UOM46844.1_135	K10563
lcl|CP094940.1_prot_UOM46845.1_136	K00954
lcl|CP094940.1_prot_UOM46846.1_137	K12984
lcl|CP094940.1_prot_UOM46847.1_138	K02527
lcl|CP094940.1_prot_UOM46850.1_141	K02844
lcl|CP094940.1_prot_UOM46851.1_142	K02849
lcl|CP094940.1_prot_UOM46855.1_146	K12981
lcl|CP094940.1_prot_UOM46856.1_147	K02841
lcl|CP094940.1_prot_UOM46857.1_148	K02843
lcl|CP094940.1_prot_UOM46858.1_149	K03274
lcl|CP094940.1_prot_UOM46859.1_150	K00639
lcl|CP094940.1_prot_UOM46860.1_151	K00060
lcl|CP094940.1_prot_UOM46861.1_153	K09798
lcl|CP094940.1_prot_UOM46863.1_155	K15633
lcl|CP094940.1_prot_UOM46864.1_156	K01011
lcl|CP094940.1_prot_UOM46865.1_157	K03676
lcl|CP094940.1_prot_UOM46866.1_158	K03071
lcl|CP094940.1_prot_UOM46867.1_159	K00057
lcl|CP094940.1_prot_UOM46868.1_160	K00640
lcl|CP094940.1_prot_UOM46869.1_161	K03216
lcl|CP094940.1_prot_UOM49336.1_162	K00101
lcl|CP094940.1_prot_UOM46870.1_163	K14348
lcl|CP094940.1_prot_UOM46871.1_164	K00427
lcl|CP094940.1_prot_UOM46871.1_164	K03303
lcl|CP094940.1_prot_UOM46872.1_165	K14762
lcl|CP094940.1_prot_UOM49337.1_167	K02562
lcl|CP094940.1_prot_UOM46874.1_168	K00009
lcl|CP094940.1_prot_UOM46875.1_169	K02798
lcl|CP094940.1_prot_UOM46875.1_169	K02799
lcl|CP094940.1_prot_UOM46875.1_169	K02800
lcl|CP094940.1_prot_UOM46876.1_171	K00799
lcl|CP094940.1_prot_UOM46877.1_172	K01042
lcl|CP094940.1_prot_UOM46878.1_173	K03833
lcl|CP094940.1_prot_UOM46879.1_175	K00196
lcl|CP094940.1_prot_UOM46879.1_175	K05796
lcl|CP094940.1_prot_UOM46880.1_176	K00835
lcl|CP094940.1_prot_UOM46881.1_177	K01176
lcl|CP094940.1_prot_UOM46882.1_178	K03796
lcl|CP094940.1_prot_UOM46883.1_179	K02529
lcl|CP094940.1_prot_UOM46884.1_180	K10544
lcl|CP094940.1_prot_UOM46884.1_180	K10547
lcl|CP094940.1_prot_UOM46885.1_181	K02056
lcl|CP094940.1_prot_UOM46885.1_181	K10441
lcl|CP094940.1_prot_UOM46885.1_181	K10542
lcl|CP094940.1_prot_UOM46885.1_181	K10545
lcl|CP094940.1_prot_UOM46885.1_181	K10562
lcl|CP094940.1_prot_UOM46885.1_181	K17204
lcl|CP094940.1_prot_UOM46885.1_181	K17215
lcl|CP094940.1_prot_UOM46886.1_182	K10543
lcl|CP094940.1_prot_UOM46887.1_183	K01805
lcl|CP094940.1_prot_UOM46888.1_184	K00854
lcl|CP094940.1_prot_UOM46893.1_189	K01878
lcl|CP094940.1_prot_UOM46894.1_190	K01879
lcl|CP094940.1_prot_UOM46896.1_192	K18919
lcl|CP094940.1_prot_UOM46896.1_192	K18920
lcl|CP094940.1_prot_UOM46898.1_194	K03704
lcl|CP094940.1_prot_UOM46899.1_195	K07726
lcl|CP094940.1_prot_UOM46900.1_196	K08195
lcl|CP094940.1_prot_UOM46902.1_198	K00032
lcl|CP094940.1_prot_UOM46902.1_198	K00090
lcl|CP094940.1_prot_UOM46904.1_200	K00874
lcl|CP094940.1_prot_UOM46904.1_200	K11441
lcl|CP094940.1_prot_UOM46906.1_202	K02525
lcl|CP094940.1_prot_UOM46907.1_203	K12216
lcl|CP094940.1_prot_UOM46908.1_204	K07306
lcl|CP094940.1_prot_UOM46908.1_204	K07309
lcl|CP094940.1_prot_UOM46908.1_204	K07812
lcl|CP094940.1_prot_UOM46908.1_204	K08351
lcl|CP094940.1_prot_UOM46909.1_205	K03826
lcl|CP094940.1_prot_UOM46910.1_206	K01246
lcl|CP094940.1_prot_UOM46912.1_208	K08177
lcl|CP094940.1_prot_UOM46913.1_209	K03760
lcl|CP094940.1_prot_UOM46913.1_209	K12975
lcl|CP094940.1_prot_UOM46913.1_209	K19353
lcl|CP094940.1_prot_UOM46914.1_210	K06867
lcl|CP094940.1_prot_UOM46915.1_211	K02035
lcl|CP094940.1_prot_UOM46915.1_211	K12368
lcl|CP094940.1_prot_UOM46916.1_212	K12369
lcl|CP094940.1_prot_UOM46916.1_212	K19227
lcl|CP094940.1_prot_UOM46917.1_213	K12370
lcl|CP094940.1_prot_UOM46918.1_214	K02031
lcl|CP094940.1_prot_UOM46918.1_214	K12371
lcl|CP094940.1_prot_UOM46918.1_214	K15583
lcl|CP094940.1_prot_UOM46919.1_215	K02032
lcl|CP094940.1_prot_UOM46919.1_215	K10823
lcl|CP094940.1_prot_UOM46919.1_215	K12372
lcl|CP094940.1_prot_UOM46919.1_215	K19230
lcl|CP094940.1_prot_UOM46922.1_219	K00694
lcl|CP094940.1_prot_UOM46922.1_219	K20541
lcl|CP094940.1_prot_UOM46923.1_220	K20541
lcl|CP094940.1_prot_UOM46924.1_221	K20543
lcl|CP094940.1_prot_UOM46926.1_223	K01179
lcl|CP094940.1_prot_UOM46926.1_223	K20542
lcl|CP094940.1_prot_UOM49077.1_229	K00694
lcl|CP094940.1_prot_UOM49077.1_229	K20541
lcl|CP094940.1_prot_UOM46932.1_230	K00694
lcl|CP094940.1_prot_UOM46932.1_230	K20541
lcl|CP094940.1_prot_UOM46933.1_231	K20542
lcl|CP094940.1_prot_UOM46934.1_232	K20543
lcl|CP094940.1_prot_UOM46936.1_234	K11103
lcl|CP094940.1_prot_UOM46937.1_235	K07263
lcl|CP094940.1_prot_UOM46938.1_236	K00874
lcl|CP094940.1_prot_UOM46939.1_237	K07290
lcl|CP094940.1_prot_UOM46941.1_239	K07058
lcl|CP094940.1_prot_UOM46944.1_242	K03790
lcl|CP094940.1_prot_UOM46945.1_243	K01194
lcl|CP094940.1_prot_UOM46946.1_244	K00001
lcl|CP094940.1_prot_UOM46947.1_245	K00799
lcl|CP094940.1_prot_UOM46948.1_246	K00383
lcl|CP094940.1_prot_UOM46949.1_247	K07115
lcl|CP094940.1_prot_UOM46951.1_249	K01414
lcl|CP094940.1_prot_UOM46952.1_250	K15984
lcl|CP094940.1_prot_UOM49078.1_251	K03305
lcl|CP094940.1_prot_UOM46953.1_252	K06149
lcl|CP094940.1_prot_UOM46954.1_253	K06144
lcl|CP094940.1_prot_UOM46955.1_254	K03306
lcl|CP094940.1_prot_UOM46955.1_254	K16322
lcl|CP094940.1_prot_UOM46956.1_255	K07007
lcl|CP094940.1_prot_UOM46957.1_256	K06213
lcl|CP094940.1_prot_UOM46958.1_257	K07722
lcl|CP094940.1_prot_UOM46959.1_258	K10824
lcl|CP094940.1_prot_UOM46960.1_259	K15587
lcl|CP094940.1_prot_UOM46961.1_260	K15586
lcl|CP094940.1_prot_UOM46962.1_261	K15585
lcl|CP094940.1_prot_UOM46963.1_262	K02035
lcl|CP094940.1_prot_UOM46963.1_262	K15584
lcl|CP094940.1_prot_UOM46965.1_264	K13727
lcl|CP094940.1_prot_UOM46966.1_265	K07806
lcl|CP094940.1_prot_UOM46967.1_266	K10012
lcl|CP094940.1_prot_UOM46968.1_267	K01784
lcl|CP094940.1_prot_UOM46968.1_267	K10011
lcl|CP094940.1_prot_UOM46969.1_268	K13014
lcl|CP094940.1_prot_UOM46970.1_269	K07264
lcl|CP094940.1_prot_UOM46971.1_270	K12962
lcl|CP094940.1_prot_UOM46972.1_271	K12963
lcl|CP094940.1_prot_UOM46973.1_272	K11744
lcl|CP094940.1_prot_UOM46976.1_275	K09125
lcl|CP094940.1_prot_UOM46977.1_276	K04085
lcl|CP094940.1_prot_UOM46978.1_277	K01534
lcl|CP094940.1_prot_UOM46980.1_280	K08993
lcl|CP094940.1_prot_UOM46981.1_281	K08316
lcl|CP094940.1_prot_UOM49080.1_282	K03110
lcl|CP094940.1_prot_UOM46982.1_283	K09812
lcl|CP094940.1_prot_UOM46983.1_284	K09811
lcl|CP094940.1_prot_UOM46984.1_285	K03089
lcl|CP094940.1_prot_UOM46985.1_286	K00375
lcl|CP094940.1_prot_UOM46985.1_286	K05825
lcl|CP094940.1_prot_UOM46986.1_287	K00823
lcl|CP094940.1_prot_UOM46986.1_287	K07250
lcl|CP094940.1_prot_UOM46988.1_289	K01999
lcl|CP094940.1_prot_UOM46990.1_291	K01999
lcl|CP094940.1_prot_UOM46991.1_292	K01997
lcl|CP094940.1_prot_UOM46992.1_293	K01998
lcl|CP094940.1_prot_UOM46993.1_294	K01995
lcl|CP094940.1_prot_UOM46994.1_295	K01996
lcl|CP094940.1_prot_UOM46995.1_296	K19165
lcl|CP094940.1_prot_UOM46996.1_297	K07341
lcl|CP094940.1_prot_UOM46997.1_298	K05813
lcl|CP094940.1_prot_UOM46998.1_299	K05814
lcl|CP094940.1_prot_UOM46999.1_300	K05815
lcl|CP094940.1_prot_UOM47000.1_301	K05816
lcl|CP094940.1_prot_UOM47001.1_302	K01126
lcl|CP094940.1_prot_UOM47003.1_304	K00681
lcl|CP094940.1_prot_UOM49081.1_305	K03825
lcl|CP094940.1_prot_UOM47006.1_308	K06911
lcl|CP094940.1_prot_UOM47007.1_309	K06145
lcl|CP094940.1_prot_UOM47008.1_310	K00851
lcl|CP094940.1_prot_UOM47009.1_311	K06156
lcl|CP094940.1_prot_UOM47011.1_313	K00133
lcl|CP094940.1_prot_UOM47012.1_314	K00700
lcl|CP094940.1_prot_UOM47013.1_315	K01200
lcl|CP094940.1_prot_UOM47013.1_315	K01214
lcl|CP094940.1_prot_UOM47013.1_315	K02438
lcl|CP094940.1_prot_UOM47014.1_316	K00975
lcl|CP094940.1_prot_UOM47015.1_317	K00703
lcl|CP094940.1_prot_UOM47016.1_318	K00688
lcl|CP094940.1_prot_UOM47018.1_321	K00111
lcl|CP094940.1_prot_UOM47019.1_322	K02439
lcl|CP094940.1_prot_UOM47020.1_323	K02441
lcl|CP094940.1_prot_UOM47021.1_324	K02444
lcl|CP094940.1_prot_UOM47022.1_325	K03556
lcl|CP094940.1_prot_UOM47023.1_326	K00688
lcl|CP094940.1_prot_UOM47024.1_327	K00705
lcl|CP094940.1_prot_UOM47025.1_328	K06155
lcl|CP094940.1_prot_UOM47026.1_329	K07400
lcl|CP094940.1_prot_UOM47028.1_331	K02170
lcl|CP094940.1_prot_UOM47030.1_333	K07490
lcl|CP094940.1_prot_UOM47031.1_334	K04759
lcl|CP094940.1_prot_UOM47032.1_335	K04758
lcl|CP094940.1_prot_UOM47033.1_336	K06959
lcl|CP094940.1_prot_UOM47034.1_337	K04760
lcl|CP094940.1_prot_UOM47035.1_338	K07659
lcl|CP094940.1_prot_UOM47036.1_339	K07638
lcl|CP094940.1_prot_UOM47037.1_340	K01610
lcl|CP094940.1_prot_UOM47038.1_341	K04083
lcl|CP094940.1_prot_UOM47039.1_342	K04762
lcl|CP094940.1_prot_UOM47040.1_343	K20881
lcl|CP094940.1_prot_UOM47042.1_345	K08312
lcl|CP094940.1_prot_UOM47043.1_346	K05366
lcl|CP094940.1_prot_UOM47044.1_347	K12288
lcl|CP094940.1_prot_UOM47045.1_348	K12289
lcl|CP094940.1_prot_UOM47046.1_349	K12290
lcl|CP094940.1_prot_UOM47047.1_350	K12291
lcl|CP094940.1_prot_UOM47048.1_351	K02507
lcl|CP094940.1_prot_UOM47048.1_351	K02666
lcl|CP094940.1_prot_UOM47049.1_352	K00891
lcl|CP094940.1_prot_UOM47050.1_353	K01735
lcl|CP094940.1_prot_UOM47051.1_354	K03112
lcl|CP094940.1_prot_UOM47052.1_355	K06223
lcl|CP094940.1_prot_UOM47053.1_356	K01783
lcl|CP094940.1_prot_UOM47054.1_357	K01091
lcl|CP094940.1_prot_UOM47055.1_358	K01867
lcl|CP094940.1_prot_UOM47056.1_359	K02302
lcl|CP094940.1_prot_UOM47056.1_359	K02304
lcl|CP094940.1_prot_UOM47057.1_360	K00363
lcl|CP094940.1_prot_UOM47058.1_361	K00362
lcl|CP094940.1_prot_UOM47059.1_362	K01485
lcl|CP094940.1_prot_UOM47060.1_363	K06141
lcl|CP094940.1_prot_UOM47061.1_364	K01802
lcl|CP094940.1_prot_UOM47061.1_364	K03767
lcl|CP094940.1_prot_UOM47061.1_364	K03768
lcl|CP094940.1_prot_UOM47063.1_366	K04095
lcl|CP094940.1_prot_UOM47064.1_367	K01658
lcl|CP094940.1_prot_UOM47064.1_367	K01664
lcl|CP094940.1_prot_UOM47065.1_368	K00821
lcl|CP094940.1_prot_UOM47065.1_368	K00840
lcl|CP094940.1_prot_UOM47067.1_370	K10914
lcl|CP094940.1_prot_UOM47068.1_371	K07397
lcl|CP094940.1_prot_UOM47069.1_372	K00855
lcl|CP094940.1_prot_UOM47070.1_373	K09898
lcl|CP094940.1_prot_UOM49082.1_374	K07019
lcl|CP094940.1_prot_UOM47071.1_375	K06158
lcl|CP094940.1_prot_UOM47072.1_376	K11748
lcl|CP094940.1_prot_UOM47073.1_377	K03455
lcl|CP094940.1_prot_UOM47073.1_377	K11745
lcl|CP094940.1_prot_UOM47073.1_377	K11747
lcl|CP094940.1_prot_UOM47074.1_378	K07070
lcl|CP094940.1_prot_UOM47075.1_379	K03775
lcl|CP094940.1_prot_UOM47076.1_380	K03745
lcl|CP094940.1_prot_UOM47077.1_381	K03772
lcl|CP094940.1_prot_UOM47079.1_383	K07235
lcl|CP094940.1_prot_UOM47080.1_384	K07236
lcl|CP094940.1_prot_UOM47081.1_385	K07237
lcl|CP094940.1_prot_UOM47082.1_386	K02950
lcl|CP094940.1_prot_UOM47083.1_387	K02992
lcl|CP094940.1_prot_UOM47084.1_388	K02355
lcl|CP094940.1_prot_UOM47085.1_389	K02358
lcl|CP094940.1_prot_UOM47086.1_390	K02192
lcl|CP094940.1_prot_UOM47087.1_391	K03594
lcl|CP094940.1_prot_UOM47088.1_392	K02464
lcl|CP094940.1_prot_UOM47088.1_392	K02506
lcl|CP094940.1_prot_UOM47088.1_392	K02654
lcl|CP094940.1_prot_UOM47089.1_393	K02946
lcl|CP094940.1_prot_UOM47090.1_394	K02906
lcl|CP094940.1_prot_UOM47091.1_395	K02926
lcl|CP094940.1_prot_UOM47092.1_396	K02892
lcl|CP094940.1_prot_UOM47093.1_397	K02886
lcl|CP094940.1_prot_UOM47094.1_398	K02965
lcl|CP094940.1_prot_UOM47095.1_399	K02890
lcl|CP094940.1_prot_UOM47096.1_400	K02982
lcl|CP094940.1_prot_UOM47097.1_401	K02878
lcl|CP094940.1_prot_UOM47098.1_402	K02904
lcl|CP094940.1_prot_UOM47099.1_403	K02961
lcl|CP094940.1_prot_UOM47100.1_404	K02874
lcl|CP094940.1_prot_UOM47101.1_405	K02895
lcl|CP094940.1_prot_UOM47102.1_406	K02931
lcl|CP094940.1_prot_UOM47103.1_407	K02954
lcl|CP094940.1_prot_UOM47104.1_408	K02994
lcl|CP094940.1_prot_UOM47105.1_409	K02933
lcl|CP094940.1_prot_UOM47106.1_410	K02881
lcl|CP094940.1_prot_UOM47107.1_411	K02988
lcl|CP094940.1_prot_UOM47108.1_412	K02907
lcl|CP094940.1_prot_UOM47109.1_413	K02876
lcl|CP094940.1_prot_UOM47110.1_414	K03076
lcl|CP094940.1_prot_UOM47111.1_415	K02919
lcl|CP094940.1_prot_UOM47112.1_416	K02952
lcl|CP094940.1_prot_UOM47113.1_417	K02948
lcl|CP094940.1_prot_UOM47114.1_418	K02986
lcl|CP094940.1_prot_UOM47115.1_419	K03040
lcl|CP094940.1_prot_UOM47116.1_420	K02879
lcl|CP094940.1_prot_UOM47118.1_422	K08365
lcl|CP094940.1_prot_UOM47118.1_422	K13638
lcl|CP094940.1_prot_UOM47120.1_424	K09890
lcl|CP094940.1_prot_UOM47121.1_425	K03282
lcl|CP094940.1_prot_UOM47122.1_426	K03499
lcl|CP094940.1_prot_UOM47123.1_427	K03500
lcl|CP094940.1_prot_UOM47124.1_428	K00604
lcl|CP094940.1_prot_UOM47125.1_429	K01462
lcl|CP094940.1_prot_UOM47126.1_430	K04096
lcl|CP094940.1_prot_UOM47127.1_431	K03747
lcl|CP094940.1_prot_UOM47128.1_432	K07479
lcl|CP094940.1_prot_UOM47129.1_433	K07566
lcl|CP094940.1_prot_UOM47130.1_434	K00014
lcl|CP094940.1_prot_MUB43_02230_438	K18138
lcl|CP094940.1_prot_MUB43_02230_438	K18142
lcl|CP094940.1_prot_UOM47134.1_439	K03585
lcl|CP094940.1_prot_UOM47134.1_439	K18141
lcl|CP094940.1_prot_UOM47135.1_440	K03577
lcl|CP094940.1_prot_UOM47135.1_440	K18140
lcl|CP094940.1_prot_UOM47136.1_441	K03557
lcl|CP094940.1_prot_MUB43_02250_442	K05540
lcl|CP094940.1_prot_UOM47137.1_443	K02687
lcl|CP094940.1_prot_UOM49083.1_444	K14392
lcl|CP094940.1_prot_UOM47139.1_446	K01961
lcl|CP094940.1_prot_UOM47140.1_447	K02160
lcl|CP094940.1_prot_UOM47141.1_448	K03786
lcl|CP094940.1_prot_UOM47142.1_449	K17247
lcl|CP094940.1_prot_UOM47143.1_450	K07147
lcl|CP094940.1_prot_UOM47145.1_452	K18765
lcl|CP094940.1_prot_UOM47146.1_453	K03569
lcl|CP094940.1_prot_UOM47147.1_454	K03570
lcl|CP094940.1_prot_UOM47148.1_455	K03571
lcl|CP094940.1_prot_UOM47149.1_456	K06287
lcl|CP094940.1_prot_UOM47150.1_457	K08301
lcl|CP094940.1_prot_UOM47152.1_459	K03568
lcl|CP094940.1_prot_UOM47153.1_460	K21698
lcl|CP094940.1_prot_UOM47154.1_461	K21695
lcl|CP094940.1_prot_UOM47155.1_462	K15548
lcl|CP094940.1_prot_UOM47156.1_463	K03468
lcl|CP094940.1_prot_UOM47157.1_464	K03623
lcl|CP094940.1_prot_UOM47160.1_467	K03402
lcl|CP094940.1_prot_UOM47161.1_468	K00024
lcl|CP094940.1_prot_UOM47162.1_469	K04691
lcl|CP094940.1_prot_UOM47162.1_469	K04772
lcl|CP094940.1_prot_UOM47163.1_470	K04771
lcl|CP094940.1_prot_UOM47163.1_470	K04772
lcl|CP094940.1_prot_UOM47163.1_470	K08070
lcl|CP094940.1_prot_UOM47164.1_471	K09908
lcl|CP094940.1_prot_UOM47165.1_472	K06916
lcl|CP094940.1_prot_UOM47166.1_473	K02871
lcl|CP094940.1_prot_UOM47167.1_474	K02996
lcl|CP094940.1_prot_UOM47169.1_476	K03599
lcl|CP094940.1_prot_UOM47170.1_477	K03600
lcl|CP094940.1_prot_UOM47171.1_478	K01788
lcl|CP094940.1_prot_UOM47172.1_479	K00266
lcl|CP094940.1_prot_UOM47173.1_480	K00265
lcl|CP094940.1_prot_UOM47174.1_481	K07139
lcl|CP094940.1_prot_UOM47175.1_482	K08191
lcl|CP094940.1_prot_UOM47176.1_483	K08322
lcl|CP094940.1_prot_UOM47177.1_484	K01686
lcl|CP094940.1_prot_UOM47178.1_485	K07648
lcl|CP094940.1_prot_UOM47180.1_487	K03814
lcl|CP094940.1_prot_UOM47181.1_488	K08485
lcl|CP094940.1_prot_UOM47181.1_488	K11189
lcl|CP094940.1_prot_UOM47182.1_489	K06958
lcl|CP094940.1_prot_UOM47183.1_490	K02806
lcl|CP094940.1_prot_UOM47184.1_491	K05808
lcl|CP094940.1_prot_UOM47185.1_492	K03092
lcl|CP094940.1_prot_UOM47186.1_493	K06861
lcl|CP094940.1_prot_UOM47187.1_494	K09774
lcl|CP094940.1_prot_UOM47188.1_495	K11719
lcl|CP094940.1_prot_UOM47189.1_496	K03270
lcl|CP094940.1_prot_UOM47190.1_497	K06041
lcl|CP094940.1_prot_UOM47191.1_498	K07301
lcl|CP094940.1_prot_UOM47192.1_499	K02065
lcl|CP094940.1_prot_UOM47193.1_500	K02066
lcl|CP094940.1_prot_UOM47194.1_501	K02067
lcl|CP094940.1_prot_UOM47195.1_502	K07323
lcl|CP094940.1_prot_UOM47196.1_503	K04749
lcl|CP094940.1_prot_UOM47196.1_503	K07122
lcl|CP094940.1_prot_UOM47198.1_505	K00790
lcl|CP094940.1_prot_UOM47199.1_506	K07724
lcl|CP094940.1_prot_UOM47200.1_507	K02523
lcl|CP094940.1_prot_UOM47201.1_508	K02888
lcl|CP094940.1_prot_UOM47202.1_509	K02899
lcl|CP094940.1_prot_UOM47204.1_511	K03979
lcl|CP094940.1_prot_UOM47205.1_512	K07259
lcl|CP094940.1_prot_UOM47206.1_513	K03624
lcl|CP094940.1_prot_UOM49084.1_514	K07574
lcl|CP094940.1_prot_UOM47207.1_515	K02427
lcl|CP094940.1_prot_UOM47208.1_516	K03798
lcl|CP094940.1_prot_UOM47209.1_517	K00796
lcl|CP094940.1_prot_UOM47210.1_518	K03431
lcl|CP094940.1_prot_UOM47211.1_519	K03075
lcl|CP094940.1_prot_UOM47214.1_523	K01940
lcl|CP094940.1_prot_UOM47215.1_524	K09748
lcl|CP094940.1_prot_UOM47216.1_525	K02600
lcl|CP094940.1_prot_UOM47217.1_526	K02519
lcl|CP094940.1_prot_UOM47218.1_527	K02834
lcl|CP094940.1_prot_UOM47219.1_528	K03177
lcl|CP094940.1_prot_UOM47220.1_529	K02956
lcl|CP094940.1_prot_UOM47221.1_530	K00962
lcl|CP094940.1_prot_UOM47222.1_531	K05803
